Entity,Market_Group,Region,Sub Region,Channel_Level,Company_Group,Sales_Employee,Customer_Code,Customer_Name,Sales_Employee_Cleaned,canonical_entity,canonical_customer_code,canonical_salesperson_name,customer_name_mapping,has_sp,has_name,dedup_rule
Inc.,USA,Central,,Spa,Company 1,,25057.0,Waldorf Astoria Spa Chicago,Melissa,US,25057,MELISSA,Waldorf Astoria Spa Chicago,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25058.0,"Five Point Five, Inc.",Erin,US,25058,ERIN,"Five Point Five, Inc.",1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25059.0,Red Rock Tivoli Aestetics,Erin,US,25059,ERIN,Red Rock Tivoli Aestetics,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25060.0,Nashville Hospitality/DBA Westin,Bethany,US,25060,BETHANY,Nashville Hospitality/DBA Westin,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25061.0,Equinox Holdings Inc; Washington DC,Marcus,US,25061,MARCUS,Equinox Holdings Inc; Washington DC,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25062.0,Equinox Holdings Inc; SPA Retail Washington DC,Marcus,US,25062,MARCUS,Equinox Holdings Inc; SPA Retail Washington DC,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25063.0,Equinox Holdings Inc; Miami,Bethany,US,25063,BETHANY,Equinox Holdings Inc; Miami,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25064.0,Embracing the Dance of Healing,Erin,US,25064,ERIN,Embracing the Dance of Healing,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25065.0,"Cupid Lift Inc., West Hollywood",Erin,US,25065,ERIN,"Cupid Lift Inc., West Hollywood",1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25066.0,ARIA Resort & Casino; Las Vegas,Erin,US,25066,ERIN,ARIA Resort & Casino; Las Vegas,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25067.0,"The Ritz-Carlton, Half Moon Bay LLC",Erin,US,25067,ERIN,"The Ritz-Carlton, Half Moon Bay LLC",1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25068.0,321 Skin Glow LLC,Amy,US,25068,AMY,321 Skin Glow LLC,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25069.0,Simply Bliss SkinCare LLC,Bethany,US,25069,BETHANY,Simply Bliss SkinCare LLC,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25070.0,Renaissance Hotel Partners LLC,Marcus,US,25070,MARCUS,Renaissance Hotel Partners LLC,1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25071.0,Nerdium LLC; Texas,Amy,US,25071,AMY,Nerdium LLC; Texas,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25072.0,Balboa Bay Club Ventures LLC,Erin,US,25072,ERIN,Balboa Bay Club Ventures LLC,1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25073.0,Mario Tricoci Hair Salons & Day Spas,Amy,US,25073,AMY,Mario Tricoci Hair Salons & Day Spas,1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25074.0,"Houstonian Campus, LLC",Amy,US,25074,AMY,"Houstonian Campus, LLC",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25075.0,Wyndham Grand Rio Mar Hotel,Bethany,US,25075,BETHANY,Wyndham Grand Rio Mar Hotel,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25076.0,Costa d' Este Beach Resort & Spa,Bethany,US,25076,BETHANY,Costa d' Este Beach Resort & Spa,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25900.0,Amy Chasko,Interco,US,25900,INTERCO,Amy Chasko,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25902.0,Bridget Lonergan,Interco,US,25902,INTERCO,Bridget Lonergan,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25903.0,Lisa Perez,Interco,US,25903,INTERCO,Lisa Perez,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25905.0,Emily Kasprowicz,Interco,US,25905,INTERCO,Emily Kasprowicz,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,30687.0,Asia Cilek; home address,Interco,US,30687,INTERCO,Asia Cilek; home address,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,30731.0,Lisamarie DeLucia; Account Executive,Interco,US,30731,INTERCO,Lisamarie DeLucia; Account Executive,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,30732.0,Monica Mosconi; Trainer,Interco,US,30732,INTERCO,Monica Mosconi; Trainer,1,1,prefer_salesperson_then_name
Inc.,USA,USA,,Own eCommerce,Company 3,,40000.0,eCommerce USA,Own eCommerce,US,40000,OWN ECOMMERCE,eCommerce USA,1,1,prefer_salesperson_then_name
Inc.,USA,USA,,Amazon,Company 3,,41000.0,Amazon,Amazon,US,41000,AMAZON,Amazon,1,1,prefer_salesperson_then_name
