market_group,region,customer_code,budget_native,budget_eur_compare,actual_native,actual_eur_compare,actual_rows,has_budget,has_actual,match_status,actual_cutoff_date
Core Markets,Germany,20668,2373.5030400000005,2373.5030400000005,1030.22,1030.2199999999998,23,1,1,both,2026-03-25
Core Markets,Germany,20670,70.0,70.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20672,30.0,30.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20674,9705.19935,9705.19935,6591.6900000000005,6591.690000000001,55,1,1,both,2026-03-25
Core Markets,Germany,20679,3151.850640000001,3151.850640000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20688,210.0,210.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20693,759.7823900000002,759.7823900000002,413.71000000000004,413.71000000000004,15,1,1,both,2026-03-25
Core Markets,Germany,20696,1006.19055,1006.19055,243.45,243.45,9,1,1,both,2026-03-25
Core Markets,Germany,20697,1372.2890400000003,1372.2890400000003,169.25,169.25,9,1,1,both,2026-03-25
Core Markets,Germany,20699,370.0,370.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20700,2654.306200000001,2654.306200000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20710,2794.2776600000007,2794.2776600000007,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20714,390.0,390.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20724,606.38436,606.38436,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20725,1584.91399,1584.91399,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20731,24044.800500000005,24044.800500000005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20736,1239.40818,1239.40818,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20743,110.0,110.0,498.0,498.0,14,1,1,both,2026-03-25
Core Markets,Germany,20744,1273.1737700000003,1273.1737700000003,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20745,4312.792290000001,4312.792290000001,1283.52,1283.52,25,1,1,both,2026-03-25
Core Markets,Germany,20746,1007.3214,1007.3214,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20750,591.94326,591.94326,268.64,268.64000000000004,6,1,1,both,2026-03-25
Core Markets,Germany,20759,765.4020300000001,765.4020300000001,649.75,649.75,12,1,1,both,2026-03-25
Core Markets,Germany,20762,20.0,20.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20765,1711.2916900000005,1711.2916900000005,1197.29,1197.2900000000002,58,1,1,both,2026-03-25
Core Markets,Germany,20767,1998.92478,1998.92478,1471.3899999999999,1471.3899999999999,13,1,1,both,2026-03-25
Core Markets,Germany,20768,3496.7354400000004,3496.7354400000004,0.0,,0,1,0,budget_only,2026-03-25
